Date,DBA,WEAT,CORN,PHO,CGW,XLU
2018-01-02,16.30648422241211,30.399999618530273,16.850000381469727,29.112316131591797,31.00824737548828,20.13258171081543
2018-01-03,16.29788589477539,30.450000762939453,16.84000015258789,29.208465576171875,31.00824737548828,19.97442054748535
2018-01-04,16.272098541259766,30.350000381469727,16.780000686645508,29.26614761352539,31.113096237182617,19.808544158935547
2018-01-05,16.186141967773438,30.100000381469727,16.760000228881836,29.333454132080078,31.30531120300293,19.800832748413086
2018-01-08,16.074392318725586,30.0,16.579999923706055,29.56419563293457,31.383947372436523,19.98599624633789
2018-01-09,16.10877799987793,30.299999237060547,16.670000076293945,29.6026554107666,31.191726684570312,19.789260864257812
2018-01-10,16.048606872558594,30.549999237060547,16.690000534057617,29.352680206298828,30.903398513793945,19.5732364654541
2018-01-11,15.988435745239258,30.399999618530273,16.700000762939453,29.756488800048828,31.07813835144043,19.499935150146484
2018-01-12,15.954048156738281,29.600000381469727,16.610000610351562,29.833396911621094,31.07813835144043,19.388076782226562
2018-01-16,15.936857223510742,29.399999618530273,16.670000076293945,29.66995620727539,31.148038864135742,19.345640182495117
2018-01-17,16.065797805786133,29.75,16.81999969482422,29.833396911621094,31.349000930786133,19.46522331237793
2018-01-18,16.057201385498047,29.950000762939453,16.780000686645508,29.77570915222168,31.331523895263672,19.34178352355957
2018-01-19,16.01422119140625,29.850000381469727,16.809999465942383,30.121826171875,31.63732147216797,19.28392219543457
2018-01-22,16.065797805786133,29.950000762939453,16.790000915527344,30.131446838378906,31.759639739990234,19.31092643737793
2018-01-23,16.005624771118164,29.700000762939453,16.799999237060547,30.00645637512207,31.70721435546875,19.496082305908203
2018-01-24,16.16035270690918,30.350000381469727,16.959999084472656,30.179515838623047,31.619850158691406,19.376502990722656
2018-01-25,16.10877799987793,30.399999618530273,16.959999084472656,30.342958450317383,31.64605712890625,19.677392959594727
2018-01-26,16.237714767456055,30.899999618530273,16.979999542236328,30.525632858276367,31.803333282470703,19.68896484375
2018-01-29,16.25490951538086,31.399999618530273,17.059999465942383,30.314117431640625,31.410152435302734,19.438220977783203
2018-01-30,16.280696868896484,32.099998474121094,17.1299991607666,30.092985153198242,31.174251556396484,19.47294044494629
2018-01-31,16.186141967773438,31.600000381469727,17.149999618530273,29.977611541748047,31.24414825439453,19.68896484375
2018-02-01,16.332271575927734,31.549999237060547,17.139999389648438,30.131446838378906,31.279090881347656,19.38035774230957
2018-02-02,16.30648422241211,31.25,17.110000610351562,29.689184188842773,30.746131896972656,19.241487503051758
2018-02-05,16.194738388061523,30.950000762939453,16.979999542236328,28.420085906982422,29.487974166870117,18.925172805786133
2018-02-06,16.315080642700195,31.350000381469727,17.190000534057617,28.554691314697266,29.680198669433594,18.64356803894043
2018-02-07,16.29788589477539,32.20000076293945,17.25,28.458539962768555,29.444292068481445,18.554841995239258
2018-02-08,16.211929321289062,31.850000381469727,17.229999542236328,27.622095108032227,28.649208068847656,18.34653091430664
2018-02-09,16.17754364013672,31.350000381469727,17.149999618530273,27.785539627075195,28.82395362854004,18.7322940826416
2018-02-12,16.280696868896484,32.349998474121094,17.360000610351562,28.3143310546875,29.042381286621094,18.87502098083496
2018-02-13,16.280696868896484,32.25,17.309999465942383,28.439313888549805,29.033641815185547,18.959890365600586
2018-02-14,16.340866088867188,31.950000762939453,17.31999969482422,28.746971130371094,29.444292068481445,18.747722625732422
2018-02-15,16.435422897338867,32.349998474121094,17.40999984741211,29.073863983154297,29.680198669433594,19.164331436157227
2018-02-16,16.30648422241211,32.150001525878906,17.350000381469727,29.1603946685791,29.77630615234375,19.33407211303711
2018-02-20,16.315080642700195,31.600000381469727,17.290000915527344,28.97771453857422,29.601560592651367,19.083330154418945
2018-02-21,16.272098541259766,31.350000381469727,17.31999969482422,29.073863983154297,29.496713638305664,18.83258628845215
2018-02-22,16.366657257080078,31.700000762939453,17.350000381469727,29.093095779418945,29.627775192260742,18.929025650024414
2018-02-23,16.418230056762695,31.649999618530273,17.350000381469727,29.410362243652344,30.047157287597656,19.42279052734375
2018-02-26,16.452613830566406,32.349998474121094,17.459999084472656,29.641111373901367,30.265586853027344,19.364931106567383
2018-02-27,16.418230056762695,32.54999923706055,17.520000457763672,29.352680206298828,29.86367416381836,19.056325912475586
2018-02-28,16.47840118408203,33.349998474121094,17.610000610351562,28.900808334350586,29.356918334960938,18.925172805786133
2018-03-01,16.727684020996094,34.900001525878906,17.84000015258789,28.448925018310547,29.033641815185547,18.929025650024414
2018-03-02,16.667512893676758,33.900001525878906,17.760000228881836,28.496999740600586,28.981220245361328,18.878875732421875
2018-03-05,16.873811721801758,34.45000076293945,17.860000610351562,28.746971130371094,29.252073287963867,19.264633178710938
2018-03-06,16.839431762695312,34.29999923706055,17.8799991607666,28.97771453857422,29.461767196655273,19.006174087524414
2018-03-07,16.693300247192383,33.900001525878906,17.850000381469727,29.314218521118164,29.750089645385742,18.86345100402832
2018-03-08,16.744876861572266,34.0,18.100000381469727,29.429597854614258,29.85494041442871,19.002315521240234
2018-03-09,16.633129119873047,33.349998474121094,17.969999313354492,30.064144134521484,30.379169464111328,19.056325912475586
2018-03-12,16.65891456604004,33.400001525878906,17.989999771118164,30.016075134277344,30.37042999267578,19.13733673095703
2018-03-13,16.667512893676758,33.20000076293945,18.049999237060547,29.967998504638672,30.1345272064209,19.179763793945312
2018-03-14,16.67610740661621,33.29999923706055,17.959999084472656,29.843013763427734,30.152000427246094,19.376502990722656
2018-03-15,16.57295799255371,32.70000076293945,17.860000610351562,29.900697708129883,30.143268585205078,19.364931106567383
2018-03-16,16.495595932006836,31.950000762939453,17.690000534057617,30.18912696838379,30.21316909790039,19.53481101989746
2018-03-19,16.194738388061523,31.0,17.40999984741211,29.958383560180664,30.02094268798828,19.414297103881836
2018-03-20,16.16035270690918,30.950000762939453,17.360000610351562,30.073755264282227,30.003469467163086,19.324886322021484
2018-03-21,16.20332908630371,31.100000381469727,17.34000015258789,29.996835708618164,30.099578857421875,19.25880241394043
2018-03-22,16.20332908630371,31.200000762939453,17.420000076293945,29.314218521118164,29.487974166870117,19.344318389892578
2018-03-23,16.220523834228516,31.399999618530273,17.440000534057617,28.718130111694336,29.086071014404297,19.072200775146484
2018-03-26,16.168947219848633,31.200000762939453,17.3700008392334,29.294994354248047,29.566606521606445,19.27046012878418
2018-03-27,16.074392318725586,30.75,17.34000015258789,28.95848846435547,29.260814666748047,19.546480178833008
2018-03-28,16.065797805786133,30.649999618530273,17.31999969482422,28.910419464111328,29.584083557128906,19.5387020111084
2018-03-29,16.168947219848633,31.0,17.959999084472656,29.294994354248047,29.77630615234375,19.643665313720703
2018-04-02,16.08298683166504,30.75,17.959999084472656,28.621986389160156,29.208385467529297,19.492048263549805
2018-04-03,15.988435745239258,31.200000762939453,18.0,29.02579116821289,29.461767196655273,19.558143615722656
2018-04-04,15.945453643798828,31.149999618530273,17.65999984741211,29.198854446411133,29.549135208129883,19.60090446472168
2018-04-05,16.17754364013672,31.549999237060547,18.079999923706055,29.45844078063965,29.73261833190918,19.756399154663086
2018-04-06,16.091585159301758,32.099998474121094,18.030000686645508,28.775821685791016,29.41807746887207,19.60090446472168
2018-04-09,16.323673248291016,33.29999923706055,18.139999389648438,28.881574630737305,29.55787467956543,19.639780044555664
2018-04-10,16.237714767456055,33.349998474121094,18.100000381469727,29.256532669067383,29.767568588256836,19.488162994384766
2018-04-11,16.246313095092773,33.20000076293945,17.969999313354492,29.1603946685791,29.63650894165039,19.460956573486328
2018-04-12,16.30648422241211,32.95000076293945,18.059999465942383,29.26614761352539,29.741355895996094,19.204376220703125
2018-04-13,16.25490951538086,32.45000076293945,17.8799991607666,29.294994354248047,29.811250686645508,19.355985641479492
2018-04-16,16.20332908630371,31.75,17.760000228881836,29.650724411010742,30.003469467163086,19.620342254638672
2018-04-17,16.194738388061523,31.75,17.700000762939453,29.987228393554688,30.29179573059082,19.818605422973633
2018-04-18,16.37525177001953,32.29999923706055,17.780000686645508,30.150671005249023,30.326745986938477,19.74474334716797
2018-04-19,16.332271575927734,32.400001525878906,17.780000686645508,30.016075134277344,30.204423904418945,19.73307991027832
2018-04-20,16.20332908630371,31.600000381469727,17.559999465942383,29.939159393310547,30.099578857421875,19.55424690246582
2018-04-23,16.151756286621094,31.399999618530273,17.6200008392334,29.8814697265625,29.994731903076172,19.565916061401367
2018-04-24,16.272098541259766,31.899999618530273,17.739999771118164,29.18922996520996,29.82872772216797,19.69809341430664
2018-04-25,16.383846282958984,32.75,17.950000762939453,29.17000389099121,29.77630615234375,19.701982498168945
2018-04-26,16.30648422241211,32.25,17.959999084472656,29.26614761352539,30.003469467163086,19.900238037109375
2018-04-27,16.521381378173828,32.900001525878906,18.1200008392334,29.285377502441406,29.98599624633789,20.102394104003906
2018-04-30,16.547170639038086,33.599998474121094,18.190000534057617,28.920034408569336,29.758832931518555,20.04408073425293
2018-05-01,16.744876861572266,34.70000076293945,18.3799991607666,28.968101501464844,29.750089645385742,19.981876373291016
2018-05-02,16.60733985900879,34.54999923706055,18.3799991607666,28.7950496673584,29.706405639648438,19.96243667602539
2018-05-03,16.796451568603516,35.20000076293945,18.479999542236328,28.7565860748291,29.811250686645508,19.935226440429688
2018-05-04,16.60733985900879,34.400001525878906,18.420000076293945,29.054630279541016,30.055896759033203,20.024642944335938
2018-05-07,16.461210250854492,33.650001525878906,18.149999618530273,29.1603946685791,29.994731903076172,19.919677734375
2018-05-08,16.495595932006836,34.0,18.31999969482422,29.237308502197266,29.89862632751465,19.422069549560547
2018-05-09,16.366657257080078,33.650001525878906,18.280000686645508,29.37190818786621,30.02094268798828,19.2860107421875
2018-05-10,16.37525177001953,33.45000076293945,18.18000030517578,29.63149642944336,30.1782169342041,19.558143615722656
2018-05-11,16.289291381835938,32.900001525878906,18.059999465942383,29.63149642944336,30.169475555419922,19.585351943969727
2018-05-14,16.20332908630371,32.54999923706055,18.06999969482422,29.496891021728516,30.0733642578125,19.511486053466797
2018-05-15,16.117372512817383,32.650001525878906,18.229999542236328,29.08347511291504,29.73261833190918,19.34821891784668
2018-05-16,16.134565353393555,32.650001525878906,18.110000610351562,29.198854446411133,29.67146110534668,19.196603775024414
2018-05-17,16.040010452270508,32.79999923706055,17.989999771118164,29.150779724121094,29.811250686645508,19.041095733642578
2018-05-18,16.220523834228516,34.0,18.209999084472656,29.294994354248047,29.881149291992188,19.044986724853516
2018-05-21,16.323673248291016,33.599998474121094,18.280000686645508,29.61226463317871,30.186952590942383,19.14217185974121
2018-05-22,16.418230056762695,34.20000076293945,18.360000610351562,29.448829650878906,30.117053985595703,19.212148666381836
2018-05-23,16.581554412841797,34.75,18.469999313354492,29.439210891723633,30.125789642333984,19.387088775634766
2018-05-24,16.529979705810547,34.650001525878906,18.34000015258789,29.63149642944336,30.143268585205078,19.546480178833008
2018-05-25,16.641725540161133,35.29999923706055,18.450000762939453,29.468053817749023,30.143268585205078,19.63199806213379
2018-05-29,16.521381378173828,35.0,18.200000762939453,29.362295150756836,29.77630615234375,19.63199806213379
2018-05-30,16.529979705810547,34.20000076293945,17.979999542236328,29.689184188842773,30.047157287597656,19.791391372680664
2018-05-31,16.512784957885742,34.29999923706055,18.030000686645508,29.285377502441406,29.819990158081055,19.822492599487305
2018-06-01,16.452613830566406,34.29999923706055,17.940000534057617,29.448829650878906,30.02094268798828,19.519268035888672
2018-06-04,16.057201385498047,33.5,17.549999237060547,29.525745391845703,30.125789642333984,19.363759994506836
2018-06-05,16.022815704345703,33.70000076293945,17.670000076293945,29.679569244384766,29.942310333251953,19.262685775756836
2018-06-06,16.100181579589844,34.349998474121094,17.530000686645508,29.756488800048828,30.047157287597656,18.8039608001709
2018-06-07,15.971242904663086,34.599998474121094,17.479999542236328,29.843013763427734,30.012210845947266,18.936132431030273
2018-06-08,16.134565353393555,34.29999923706055,17.489999771118164,29.94877815246582,30.0733642578125,18.928363800048828
2018-06-11,15.954048156738281,33.95000076293945,17.06999969482422,29.939159393310547,29.994731903076172,18.889488220214844
2018-06-12,16.151756286621094,35.04999923706055,17.459999084472656,29.967998504638672,29.977258682250977,19.10718536376953
2018-06-13,16.048606872558594,34.04999923706055,17.399999618530273,29.756488800048828,29.889881134033203,19.056640625
